ZCTA,FIPS,STATE_ABBR,STATE_NAME,Region
02760,25,MA,Massachusetts,Northeast
02762,25,MA,Massachusetts,Northeast
02763,25,MA,Massachusetts,Northeast
02764,25,MA,Massachusetts,Northeast
02766,25,MA,Massachusetts,Northeast
02767,25,MA,Massachusetts,Northeast
02769,25,MA,Massachusetts,Northeast
02770,25,MA,Massachusetts,Northeast
02771,25,MA,Massachusetts,Northeast
02777,25,MA,Massachusetts,Northeast
02779,25,MA,Massachusetts,Northeast
02780,25,MA,Massachusetts,Northeast
02790,25,MA,Massachusetts,Northeast
02791,25,MA,Massachusetts,Northeast
02802,44,RI,Rhode Island,Northeast
02804,44,RI,Rhode Island,Northeast
02806,44,RI,Rhode Island,Northeast
02807,44,RI,Rhode Island,Northeast
02808,44,RI,Rhode Island,Northeast
02809,44,RI,Rhode Island,Northeast
02812,44,RI,Rhode Island,Northeast
02813,44,RI,Rhode Island,Northeast
02814,44,RI,Rhode Island,Northeast
02815,44,RI,Rhode Island,Northeast
02816,44,RI,Rhode Island,Northeast
02817,44,RI,Rhode Island,Northeast
02818,44,RI,Rhode Island,Northeast
02822,44,RI,Rhode Island,Northeast
02825,44,RI,Rhode Island,Northeast
02826,44,RI,Rhode Island,Northeast
02827,44,RI,Rhode Island,Northeast
02828,44,RI,Rhode Island,Northeast
02830,44,RI,Rhode Island,Northeast
02831,44,RI,Rhode Island,Northeast
02832,44,RI,Rhode Island,Northeast
02833,44,RI,Rhode Island,Northeast
02835,44,RI,Rhode Island,Northeast
02836,44,RI,Rhode Island,Northeast
02837,44,RI,Rhode Island,Northeast
02838,44,RI,Rhode Island,Northeast
02839,44,RI,Rhode Island,Northeast
02840,44,RI,Rhode Island,Northeast
02841,44,RI,Rhode Island,Northeast
02842,44,RI,Rhode Island,Northeast
02852,44,RI,Rhode Island,Northeast
02857,44,RI,Rhode Island,Northeast
02858,44,RI,Rhode Island,Northeast
02859,44,RI,Rhode Island,Northeast
02860,44,RI,Rhode Island,Northeast
02861,44,RI,Rhode Island,Northeast
02863,44,RI,Rhode Island,Northeast
02864,44,RI,Rhode Island,Northeast
02865,44,RI,Rhode Island,Northeast
02871,44,RI,Rhode Island,Northeast
02872,44,RI,Rhode Island,Northeast
02873,44,RI,Rhode Island,Northeast
02874,44,RI,Rhode Island,Northeast
02875,44,RI,Rhode Island,Northeast
02876,44,RI,Rhode Island,Northeast
02878,44,RI,Rhode Island,Northeast
02879,44,RI,Rhode Island,Northeast
02881,44,RI,Rhode Island,Northeast
02882,44,RI,Rhode Island,Northeast
02885,44,RI,Rhode Island,Northeast
02886,44,RI,Rhode Island,Northeast
02888,44,RI,Rhode Island,Northeast
02889,44,RI,Rhode Island,Northeast
02891,44,RI,Rhode Island,Northeast
02892,44,RI,Rhode Island,Northeast
02893,44,RI,Rhode Island,Northeast
02894,44,RI,Rhode Island,Northeast
02895,44,RI,Rhode Island,Northeast
02896,44,RI,Rhode Island,Northeast
02898,44,RI,Rhode Island,Northeast
02903,44,RI,Rhode Island,Northeast
02904,44,RI,Rhode Island,Northeast
02905,44,RI,Rhode Island,Northeast
02906,44,RI,Rhode Island,Northeast
02907,44,RI,Rhode Island,Northeast
02908,44,RI,Rhode Island,Northeast
02909,44,RI,Rhode Island,Northeast
02910,44,RI,Rhode Island,Northeast
02911,44,RI,Rhode Island,Northeast
02912,44,RI,Rhode Island,Northeast
02914,44,RI,Rhode Island,Northeast
02915,44,RI,Rhode Island,Northeast
02916,44,RI,Rhode Island,Northeast
02917,44,RI,Rhode Island,Northeast
02919,44,RI,Rhode Island,Northeast
